,id,Tranc_YearMonth,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,resale_price,Tranc_Year,Tranc_Month,mid_storey,lower,upper,mid,full_flat_type,address,floor_area_sqft,hdb_age,max_floor_lvl,year_completed,residential,commercial,market_hawker,multistorey_carpark,precinct_pavilion,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,studio_apartment_sold,1room_rental,2room_rental,3room_rental,other_room_rental,postal,Latitude,Longitude,planning_area,Mall_Nearest_Distance,Mall_Within_500m,Mall_Within_1km,Mall_Within_2km,Hawker_Nearest_Distance,Hawker_Within_500m,Hawker_Within_1km,Hawker_Within_2km,hawker_food_stalls,hawker_market_stalls,mrt_nearest_distance,mrt_name,bus_interchange,mrt_interchange,mrt_latitude,mrt_longitude,bus_stop_nearest_distance,bus_stop_name,bus_stop_latitude,bus_stop_longitude,pri_sch_nearest_distance,pri_sch_name,vacancy,pri_sch_affiliation,pri_sch_latitude,pri_sch_longitude,sec_sch_nearest_dist,sec_sch_name,cutoff_point,affiliation,sec_sch_latitude,sec_sch_longitude
68869,74050,2018-10,QUEENSTOWN,4 ROOM,91,TANGLIN HALT RD,37 TO 39,90.0,Model A,2008,790000.0,2018,10,38,37,39,38,4 ROOM Model A,"91, TANGLIN HALT RD",968.76,13,40,2007,Y,N,N,N,N,331,0,3,0,254,39,0,0,35,0,0,0,0,142091,1.300727923,103.7994173,Queenstown,1252.549574,,,6.0,193.4059415,2.0,4.0,10.0,28,89,167.06930385741018,Commonwealth,0,0,1.302083048,103.7987682,193.47564608976813,C'Wealth Stn Exit A/D,1.30213305598263,103.7983908330214,118.70485760270138,New Town Primary School,82,0,1.299811388,103.7999648,257.9186630937637,Queensway Secondary School,214,0,1.300475167,103.8017236
68879,73957,2019-05,QUEENSTOWN,5 ROOM,18C,HOLLAND DR,37 TO 39,117.0,Improved,2012,1170000.0,2019,5,38,37,39,38,5 ROOM Improved,"18C, HOLLAND DR",1259.388,9,40,2010,Y,N,N,N,N,234,0,0,0,117,117,0,0,0,0,0,0,0,274018,1.310316292,103.7917389,Queenstown,374.7688985,1.0,3.0,3.0,265.0874291,3.0,4.0,7.0,45,61,367.0972398401706,Buona Vista,0,1,1.307197257,103.7906566,145.1302435332751,Buona Vista Ter,1.30917002463976,103.79236323128612,1099.4365430266682,Henry Park Primary School,32,0,1.316725811,103.7842083,1242.1192042016658,Fairfield Methodist School,241,0,1.301920884,103.7843681
68907,181200,2020-04,BUKIT TIMAH,EXECUTIVE,8,TOH YI DR,01 TO 03,146.0,Maisonette,1989,970000.0,2020,4,2,1,3,2,EXECUTIVE Maisonette,"8, TOH YI DR",1571.544,32,4,1988,Y,N,N,N,N,32,0,0,0,0,0,32,0,0,0,0,0,0,590008,1.337964912,103.7740157,Bukit Timah,493.5238912,1.0,3.0,3.0,272.1400706,1.0,1.0,1.0,84,95,434.54062442763694,Beauty World,1,0,1.341597171,103.7754578,272.0532621147875,Opp Blk 19,1.34038575681297,103.77366130505683,232.82791168063983,Pei Hwa Presbyterian Primary School,20,0,1.338055078,103.7761082,1183.9045048907658,Methodist Girls' School,260,1,1.33286306,103.7833634
68922,79734,2018-03,CENTRAL AREA,4 ROOM,1D,CANTONMENT RD,22 TO 24,95.0,Type S1,2011,920000.0,2018,3,23,22,24,23,4 ROOM Type S1,"1D, CANTONMENT RD",1022.58,10,50,2009,Y,N,N,N,N,264,0,0,0,176,88,0,0,0,0,0,0,0,85401,1.276920234,103.8414858,Outram,339.5458304,1.0,3.0,11.0,196.0571776,1.0,7.0,11.0,52,108,608.5069434456066,Tanjong Pagar,0,0,1.276060998,103.8468917,100.75725006655016,Maritime Hse,1.2767686109831595,103.84059222200348,234.40008806661885,Cantonment Primary School,58,0,1.275505441,103.8399227,1161.4079147905989,Outram Secondary School,188,0,1.286387486,103.8370728
68939,167502,2014-09,TOA PAYOH,5 ROOM,97,LOR 3 TOA PAYOH,16 TO 18,122.0,Improved,1993,810000.0,2014,9,17,16,18,17,5 ROOM Improved,"97, LOR 3 TOA PAYOH",1313.208,28,17,1992,Y,N,N,N,N,80,0,0,0,0,80,0,0,0,0,0,0,0,310097,1.33862554,103.8477693,Toa Payoh,715.9648589,,1.0,4.0,200.7553702,2.0,5.0,9.0,28,32,311.743906431441,Braddell,0,0,1.341078755,103.8464118,85.24877053417774,Opp Jackson Sq,1.33801162125737,103.84822863361008,135.42781374573138,Kheng Cheng School,75,0,1.337407636,103.8477611,593.1926444089672,Beatty Secondary School,211,0,1.341790511,103.85206490000002
68948,99900,2013-03,BISHAN,EXECUTIVE,455,SIN MING AVE,10 TO 12,188.0,Maisonette,1990,840000.0,2013,3,11,10,12,11,EXECUTIVE Maisonette,"455, SIN MING AVE",2023.632,31,12,1988,Y,N,N,N,N,87,0,0,0,74,9,4,0,0,0,0,0,0,570455,1.358728426,103.8306428,Bishan,488.1396203,1.0,1.0,1.0,1043.347315,,,5.0,31,51,1596.8891536033946,Marymount,0,0,1.3478730819999998,103.8400478,72.77946934005402,Blk 454,1.35929833296604,103.8303208330076,350.7047881319108,Ai Tong School,30,0,1.360736365,103.8330757,827.2201347451762,Peirce Secondary School,208,0,1.366131676,103.8299104
68987,61933,2017-10,QUEENSTOWN,4 ROOM,50,C'WEALTH DR,37 TO 39,93.0,Model A,2015,820000.0,2017,10,38,37,39,38,4 ROOM Model A,"50, C'WEALTH DR",1001.052,6,40,2013,Y,N,N,N,N,278,0,0,106,133,39,0,0,0,0,0,0,0,142050,1.301129092,103.797123,Queenstown,1075.265163,,,6.0,69.61347576,2.0,4.0,10.0,28,89,211.4259316294772,Commonwealth,0,0,1.302083048,103.7987682,34.91009827332776,Blk 50,1.30097055597804,103.7968519439962,348.2374321538333,New Town Primary School,82,0,1.299811388,103.7999648,516.5747057767868,Queensway Secondary School,214,0,1.300475167,103.8017236
69009,185228,2019-08,BISHAN,EXECUTIVE,174,BISHAN ST 13,01 TO 03,152.0,Maisonette,1986,795000.0,2019,8,2,1,3,2,EXECUTIVE Maisonette,"174, BISHAN ST 13",1636.128,35,4,1986,Y,N,N,N,N,16,0,0,0,0,0,16,0,0,0,0,0,0,570174,1.348207995,103.854277,Bishan,685.9934638,,1.0,3.0,871.3497809,,1.0,9.0,80,77,714.3312254099333,Bishan,1,1,1.350579599,103.848305,116.42046176734272,Zion Bible Presby Ch,1.347206111,103.8545811,177.3704932477708,Kuo Chuan Presbyterian Primary School,45,1,1.349783074,103.8545292,222.2210717854856,Kuo Chuan Presbyterian Secondary School,232,0,1.350109648,103.8548917
69013,139805,2016-05,BUKIT MERAH,5 ROOM,19,CANTONMENT CL,10 TO 12,110.0,Improved,2002,845000.0,2016,5,11,10,12,11,5 ROOM Improved,"19, CANTONMENT CL",1184.04,19,30,2000,Y,N,N,N,N,116,0,0,0,58,58,0,0,0,0,0,0,0,80019,1.273883542,103.8390033,Bukit Merah,503.2552922,,2.0,10.0,563.0410701,,2.0,12.0,52,108,859.378168853746,Outram Park,0,1,1.281604154,103.8386525,156.62469875527503,Blk 16,1.27346055934188,103.84034718190608,207.29533130765145,Cantonment Primary School,58,0,1.275505441,103.8399227,1406.8403286704945,Outram Secondary School,188,0,1.286387486,103.8370728
69027,92404,2012-03,ANG MO KIO,5 ROOM,596D,ANG MO KIO ST 52,21 TO 25,110.0,Improved,2003,785000.0,2012,3,23,21,25,23,5 ROOM Improved,"596D, ANG MO KIO ST 52",1184.04,18,28,2001,Y,N,N,N,N,162,0,0,0,108,54,0,0,0,0,0,0,0,564596,1.371871353,103.8510304,Ang Mo Kio,394.9858248,1.0,2.0,3.0,391.3057157,1.0,4.0,11.0,50,100,293.8244115906446,Ang Mo Kio,1,0,1.369464707,103.849939,137.18422450641128,Blk 522,1.3729466814704,103.8516353477965,86.81737854714362,Jing Shan Primary School,36,0,1.371892676,103.8518111,267.3411828669478,Anderson Secondary School,245,0,1.374242189,103.85143
69083,62040,2020-10,TOA PAYOH,5 ROOM,139B,LOR 1A TOA PAYOH,10 TO 12,113.0,DBSS,2012,918800.0,2020,10,11,10,12,11,5 ROOM DBSS,"139B, LOR 1A TOA PAYOH",1216.332,9,42,2012,Y,N,N,N,N,246,0,0,19,63,164,0,0,0,0,0,0,0,312139,1.336711091,103.8438782,Toa Payoh,613.9391619,,1.0,6.0,189.5055916,1.0,3.0,9.0,40,108,499.71621692010194,Caldecott,0,0,1.337114855,103.8394011,47.98004918603128,Opp Philips S'pore,1.33640498933489,103.84357399610558,438.5350616940935,Kheng Cheng School,75,0,1.337407636,103.8477611,489.7093067297583,CHIJ Secondary,243,0,1.33246213,103.8427194
69093,181873,2018-10,BEDOK,EXECUTIVE,29,CHAI CHEE AVE,07 TO 09,143.0,Apartment,1996,785000.0,2018,10,8,7,9,8,EXECUTIVE Apartment,"29, CHAI CHEE AVE",1539.252,25,17,1995,Y,N,N,N,N,60,0,0,0,0,0,60,0,0,0,0,0,0,460029,1.324760401,103.9243702,Bedok,560.4694058,,4.0,4.0,679.7806922,,2.0,8.0,70,0,548.389192597475,Bedok,1,0,1.323568636,103.9291571,135.75058325553704,Opp Blk 24,1.32477805597156,103.9231491669668,537.2104663675221,Opera Estate Primary School,41,0,1.319968755,103.9237527,473.7105141677791,Ping Yi Secondary School,189,0,1.327140285,103.9208358
69106,56364,2019-09,KALLANG/WHAMPOA,5 ROOM,8,BOON KENG RD,31 TO 33,107.0,DBSS,2011,970000.0,2019,9,32,31,33,32,5 ROOM DBSS,"8, BOON KENG RD",1151.7479999999998,10,40,2011,Y,N,N,N,N,238,0,0,24,56,158,0,0,0,0,0,0,0,330008,1.316424896,103.8615016,Kallang,758.4866616,,4.0,14.0,361.854708,1.0,1.0,12.0,88,105,187.98659177489665,Boon Keng,0,0,1.317911495,103.8606963,98.34864700079916,Blk 7,1.3171830559684898,103.86195722198198,725.131587926035,Hong Wen School,48,0,1.321689285,103.8576518,912.179897255243,Bendemeer Secondary School,188,0,1.324611113,103.8609703
69127,184870,2018-06,TOA PAYOH,EXECUTIVE,99C,LOR 2 TOA PAYOH,04 TO 06,148.0,Apartment,1993,888000.0,2018,6,5,4,6,5,EXECUTIVE Apartment,"99C, LOR 2 TOA PAYOH",1593.072,28,13,1992,Y,N,N,N,N,48,0,0,0,0,0,48,0,0,0,0,0,0,312099,1.33901613,103.8474494,Toa Payoh,756.1381375,,1.0,4.0,241.9325955,2.0,5.0,9.0,28,32,256.7241832918743,Braddell,0,0,1.341078755,103.8464118,78.68339011633289,Blk 101C CP,1.33925873230713,103.846784488714,182.1818454346996,Kheng Cheng School,75,0,1.337407636,103.8477611,598.6829569323091,Beatty Secondary School,211,0,1.341790511,103.85206490000002
69142,165554,2017-06,QUEENSTOWN,5 ROOM,13,DOVER CL EAST,13 TO 15,117.0,Standard,1978,820000.0,2017,6,14,13,15,14,5 ROOM Standard,"13, DOVER CL EAST",1259.388,43,25,1977,Y,N,N,N,N,96,0,0,0,0,96,0,0,0,0,0,0,0,130013,1.305370112,103.7860795,Queenstown,263.4802735,2.0,2.0,3.0,675.6164146,,2.0,7.0,72,158,547.880948554122,Buona Vista,0,1,1.307197257,103.7906566,239.8598197829562,Aft Anglo-Chinese JC,1.30418279677397,103.78788091438992,510.1389311910275,Fairfield Methodist School,32,1,1.300798691,103.7856922,428.1300378518611,Fairfield Methodist School,241,0,1.301920884,103.7843681
69145,93348,2016-08,BUKIT MERAH,5 ROOM,88,TELOK BLANGAH HTS,19 TO 21,110.0,Improved,2003,810000.0,2016,8,20,19,21,20,5 ROOM Improved,"88, TELOK BLANGAH HTS",1184.04,18,30,2000,Y,N,N,N,N,145,0,0,0,58,87,0,0,0,0,0,0,0,100088,1.27736919,103.8082549,Bukit Merah,841.964729,,1.0,4.0,375.8400122,2.0,2.0,12.0,0,144,759.6324811435592,Telok Blangah,0,0,1.270734786,103.8098846,47.27816690624857,Blk 85,1.27763662023223,103.80858552939208,144.2302226319532,Blangah Rise Primary School,36,0,1.276130304,103.8086392,1082.5877153857436,Bukit Merah Secondary School,189,0,1.285751537,103.8132084
69150,100406,2012-09,BUKIT MERAH,5 ROOM,25A,JLN MEMBINA,19 TO 21,110.0,Improved,2008,880000.0,2012,9,20,19,21,20,5 ROOM Improved,"25A, JLN MEMBINA",1184.04,13,24,2007,Y,N,N,N,N,92,0,0,0,46,46,0,0,0,0,0,0,0,162025,1.283466373,103.8261834,Bukit Merah,349.524557,1.0,1.0,4.0,375.7609218,2.0,7.0,14.0,28,96,271.0754754764956,Tiong Bahru,0,0,1.285764585,103.8269968,146.3098555428229,Blk 25B,1.28373603376667,103.82489520929732,114.79986297998823,Zhangde Primary School,62,0,1.28449822,103.826149,680.122887861697,Gan Eng Seng School,223,0,1.289071145,103.8237337
69193,183721,2020-10,SERANGOON,EXECUTIVE,424,SERANGOON CTRL,04 TO 06,146.0,Maisonette,1989,870000.0,2020,10,5,4,6,5,EXECUTIVE Maisonette,"424, SERANGOON CTRL",1571.544,32,13,1988,Y,N,N,N,N,60,0,0,0,0,0,60,0,0,0,0,0,0,550424,1.348147389,103.8755908,Serangoon,500.3870698,,2.0,3.0,1668.491371,,,3.0,65,118,421.95120857842267,Serangoon,1,1,1.350824736,103.8729009,86.03645387816194,St.Gabriel's Sec Sch,1.34750333302055,103.87601972203169,719.2265680912271,Maris Stella High School,55,1,1.3421839569999998,103.8780964,167.90896240297235,Saint Gabriel's Secondary School,222,0,1.346644168,103.8757342
69205,79747,2015-08,CENTRAL AREA,5 ROOM,1D,CANTONMENT RD,22 TO 24,105.0,Type S2,2011,950000.0,2015,8,23,22,24,23,5 ROOM Type S2,"1D, CANTONMENT RD",1130.22,10,50,2009,Y,N,N,N,N,264,0,0,0,176,88,0,0,0,0,0,0,0,85401,1.276920234,103.8414858,Outram,339.5458304,1.0,3.0,11.0,196.0571776,1.0,7.0,11.0,52,108,608.5069434456066,Tanjong Pagar,0,0,1.276060998,103.8468917,100.75725006655016,Maritime Hse,1.2767686109831595,103.84059222200348,234.40008806661885,Cantonment Primary School,58,0,1.275505441,103.8399227,1161.4079147905989,Outram Secondary School,188,0,1.286387486,103.8370728
69228,94637,2016-06,GEYLANG,5 ROOM,60,DAKOTA CRES,04 TO 06,152.0,Model A-Maisonette,1983,925000.0,2016,6,5,4,6,5,5 ROOM Model A-Maisonette,"60, DAKOTA CRES",1636.128,38,15,1982,Y,N,N,N,N,162,0,0,0,28,134,0,0,0,0,0,0,0,390060,1.307285341,103.8885056,Geylang,942.189073,,2.0,13.0,316.2418909,2.0,3.0,9.0,168,54,192.5961250530472,Dakota,0,0,1.308825619,103.889298,103.16113616092238,Dakota Stn Exit B/Blk 60,1.30821308595952,103.88850877408412,427.0231984207489,Kong Hwa School,51,0,1.311114219,103.8882094,204.92188503542613,Broadrick Secondary School,188,0,1.30750538,103.8866754
69235,69856,2021-01,BUKIT MERAH,5 ROOM,112B,DEPOT RD,13 TO 15,116.0,Improved,2006,800000.0,2021,1,14,13,15,14,5 ROOM Improved,"112B, DEPOT RD",1248.624,15,25,2003,Y,N,N,N,N,89,0,0,0,48,41,0,0,0,0,0,0,0,102112,1.281568739,103.8077317,Bukit Merah,700.2070125,,3.0,4.0,603.8134331,,4.0,12.0,96,48,1209.2020989118578,Labrador Park,0,0,1.272112372,103.8023606,119.72405127547938,Opp Blk 114,1.28218647936578,103.80684961252828,613.0837054229362,Blangah Rise Primary School,36,0,1.276130304,103.8086392,766.1563571433367,Bukit Merah Secondary School,189,0,1.285751537,103.8132084
69270,173375,2012-11,BUKIT MERAH,5 ROOM,87,ZION RD,16 TO 18,117.0,Improved,1974,825000.0,2012,11,17,16,18,17,5 ROOM Improved,"87, ZION RD",1259.388,47,25,1974,Y,N,N,N,N,96,0,0,0,0,96,0,0,0,0,0,0,0,160087,1.290659806,103.8326083,Bukit Merah,286.097617,1.0,2.0,30.0,244.1937191,2.0,5.0,15.0,32,0,827.9073172794451,Tiong Bahru,0,0,1.285764585,103.8269968,93.14926382868916,Opp Harvest Mansions,1.2905213784016398,103.83178189529583,545.2239775386126,River Valley Primary School,33,0,1.294183475,103.8360189,687.0226891743938,Outram Secondary School,188,0,1.286387486,103.8370728
69291,99688,2014-08,ANG MO KIO,5 ROOM,700B,ANG MO KIO AVE 6,16 TO 18,111.0,Improved,2003,780000.0,2014,8,17,16,18,17,5 ROOM Improved,"700B, ANG MO KIO AVE 6",1194.804,18,25,2000,Y,N,N,N,N,144,0,0,0,96,48,0,0,0,0,0,0,0,562700,1.369410498,103.8460598,Ang Mo Kio,269.1267025,2.0,2.0,2.0,294.7957207,1.0,5.0,10.0,45,78,431.2662848181708,Ang Mo Kio,1,0,1.369464707,103.849939,33.40482400850136,Blk 700B,1.36913518643274,103.84618005827468,696.3655708575549,Jing Shan Primary School,36,0,1.371892676,103.8518111,447.1260021710611,Ang Mo Kio Secondary School,224,0,1.367359004,103.8426004
69318,61740,2021-02,TOA PAYOH,5 ROOM,138A,LOR 1A TOA PAYOH,07 TO 09,113.0,DBSS,2012,900000.0,2021,2,8,7,9,8,5 ROOM DBSS,"138A, LOR 1A TOA PAYOH",1216.332,9,42,2012,Y,N,N,N,N,246,0,0,19,63,164,0,0,0,0,0,0,0,311138,1.336710985,103.8454729,Toa Payoh,531.0520339,,1.0,6.0,177.4540901,2.0,4.0,9.0,40,108,496.7622202448202,Braddell,0,0,1.341078755,103.8464118,78.25887155401351,Blk 138B,1.33636138602833,103.84608389640736,265.90078557186166,Kheng Cheng School,75,0,1.337407636,103.8477611,562.9409208513854,CHIJ Secondary,243,0,1.33246213,103.8427194
69326,148055,2017-08,BEDOK,5 ROOM,114,LENGKONG TIGA,10 TO 12,120.0,Improved,1989,840000.0,2017,8,11,10,12,11,5 ROOM Improved,"114, LENGKONG TIGA",1291.6799999999998,32,18,1988,Y,N,N,N,N,97,0,0,0,23,74,0,0,0,0,0,0,0,410114,1.323134861,103.9120457,Bedok,1939.404653,,,4.0,925.8538444,,1.0,6.0,42,71,264.5925483984201,Kembangan,0,0,1.320929673,103.91294,84.6550279288347,Kg Kembangan CC,1.32349513640884,103.91271655859842,775.7358714274085,Saint Stephen's School,74,1,1.318816206,103.9175261,1073.868749643407,Ping Yi Secondary School,189,0,1.327140285,103.9208358
69332,143283,2020-06,BISHAN,4 ROOM,273A,BISHAN ST 24,34 TO 36,95.0,DBSS,2011,910000.0,2020,6,35,34,36,35,4 ROOM DBSS,"273A, BISHAN ST 24",1022.58,10,40,2011,Y,N,N,N,N,160,0,0,0,80,80,0,0,0,0,0,0,0,571273,1.356366211,103.843934,Bishan,848.1866834,,1.0,4.0,918.3152181,,2.0,7.0,31,51,806.2963341551825,Bishan,1,1,1.350579599,103.848305,231.71957205876907,Opp Bishan Nth Shop Mall,1.3580447373693298,103.8451693388076,207.6585064037963,Catholic High School,20,1,1.3547888769999998,103.8449341,180.52614613357792,Whitley Secondary School,188,0,1.355494624,103.8425639
69436,115657,2012-11,BUKIT MERAH,4 ROOM,23,JLN MEMBINA,25 TO 27,90.0,Model A,2003,780000.0,2012,11,26,25,27,26,4 ROOM Model A,"23, JLN MEMBINA",968.76,18,30,2001,Y,N,N,N,N,156,0,0,0,69,87,0,0,0,0,0,0,0,163023,1.284748327,103.8268757,Bukit Merah,193.0850957,1.0,1.0,4.0,415.5832341,2.0,7.0,14.0,32,62,113.80180947248304,Tiong Bahru,0,0,1.285764585,103.8269968,133.16192139799068,Opp Tiong Bahru Stn,1.28593135445772,103.82668969231536,85.43801499271504,Zhangde Primary School,62,0,1.28449822,103.826149,594.1799504982924,Gan Eng Seng School,223,0,1.289071145,103.8237337
69530,92402,2020-10,ANG MO KIO,5 ROOM,596D,ANG MO KIO ST 52,22 TO 24,110.0,Improved,2003,798000.0,2020,10,23,22,24,23,5 ROOM Improved,"596D, ANG MO KIO ST 52",1184.04,18,28,2001,Y,N,N,N,N,162,0,0,0,108,54,0,0,0,0,0,0,0,564596,1.371871353,103.8510304,Ang Mo Kio,394.9858248,1.0,2.0,3.0,391.3057157,1.0,4.0,11.0,50,100,293.8244115906446,Ang Mo Kio,1,0,1.369464707,103.849939,137.18422450641128,Blk 522,1.3729466814704,103.8516353477965,86.81737854714362,Jing Shan Primary School,36,0,1.371892676,103.8518111,267.3411828669478,Anderson Secondary School,245,0,1.374242189,103.85143
69545,130258,2021-02,TOA PAYOH,5 ROOM,171,LOR 1 TOA PAYOH,16 TO 18,124.0,Improved,1995,880000.0,2021,2,17,16,18,17,5 ROOM Improved,"171, LOR 1 TOA PAYOH",1334.736,26,23,1994,Y,N,N,N,N,160,0,0,0,67,93,0,0,0,0,0,0,0,311171,1.3307811,103.8422384,Toa Payoh,540.3391997,,3.0,6.0,863.8399598,,1.0,9.0,40,108,635.0630341307506,Toa Payoh,1,0,1.332376442,103.8477238,200.35847879784492,Trellis Twrs,1.32991416932901,103.8438184322432,229.2862469775277,CHIJ Primary,42,1,1.332818153,103.8419184,194.4194216911112,CHIJ Secondary,243,0,1.33246213,103.8427194
69570,151037,2020-03,ANG MO KIO,5 ROOM,588B,ANG MO KIO ST 52,13 TO 15,117.0,DBSS,2011,852888.0,2020,3,14,13,15,14,5 ROOM DBSS,"588B, ANG MO KIO ST 52",1259.388,10,30,2011,Y,N,N,N,N,145,0,0,0,30,115,0,0,0,0,0,0,0,562588,1.371975713,103.8531509,Ang Mo Kio,593.4936759,,2.0,3.0,165.4635445,1.0,3.0,11.0,50,100,453.25471068648113,Ang Mo Kio,1,0,1.369464707,103.849939,126.9951601934902,Blk 527,1.37235305596731,103.8542291670297,149.22219028601123,Jing Shan Primary School,36,0,1.371892676,103.8518111,316.4020269003761,Anderson Secondary School,245,0,1.374242189,103.85143
69579,185524,2018-09,TOA PAYOH,EXECUTIVE,99A,LOR 2 TOA PAYOH,04 TO 06,145.0,Apartment,1993,872000.0,2018,9,5,4,6,5,EXECUTIVE Apartment,"99A, LOR 2 TOA PAYOH",1560.78,28,17,1992,Y,N,N,N,N,64,0,0,0,0,0,64,0,0,0,0,0,0,310099,1.338785343,103.8468731,Toa Payoh,729.842758,,1.0,4.0,242.174102,2.0,5.0,9.0,40,108,260.12056019775605,Braddell,0,0,1.341078755,103.8464118,53.55223263128464,Blk 101C CP,1.33925873230713,103.846784488714,182.244060317953,Kheng Cheng School,75,0,1.337407636,103.8477611,666.9014781217344,Beatty Secondary School,211,0,1.341790511,103.85206490000002
69591,156402,2018-07,BUKIT MERAH,5 ROOM,9B,BOON TIONG RD,25 TO 27,112.0,Improved,2016,1088000.0,2018,7,26,25,27,26,5 ROOM Improved,"9B, BOON TIONG RD",1205.568,5,40,2014,Y,N,N,N,N,156,0,0,0,78,78,0,0,0,0,0,0,0,163009,1.286814173,103.8289283,Bukit Merah,200.6035595,1.0,2.0,17.0,159.8156613,3.0,6.0,17.0,30,0,244.38730659886764,Tiong Bahru,0,0,1.285764585,103.8269968,129.45181506999165,Ctrl Green Condo,1.28572048365401,103.82852922870951,402.2161679121133,Zhangde Primary School,62,0,1.28449822,103.826149,629.6437553255123,Gan Eng Seng School,223,0,1.289071145,103.8237337
69593,144053,2015-04,TOA PAYOH,5 ROOM,147,LOR 2 TOA PAYOH,22 TO 24,110.0,Improved,2006,838000.0,2015,4,23,22,24,23,5 ROOM Improved,"147, LOR 2 TOA PAYOH",1184.04,15,40,2004,Y,N,N,N,N,229,0,0,0,156,73,0,0,0,0,0,0,0,310147,1.334546832,103.8450777,Toa Payoh,342.8855549,1.0,3.0,7.0,400.8323565,1.0,4.0,8.0,40,108,380.4856769660963,Toa Payoh,1,0,1.332376442,103.8477238,201.7794471703627,Blk 84B,1.33547301693721,103.84663861149124,400.36505785300784,CHIJ Primary,42,1,1.332818153,103.8419184,349.9470451524666,CHIJ Secondary,243,0,1.33246213,103.8427194
69606,106867,2017-10,GEYLANG,5 ROOM,45,JLN TIGA,04 TO 06,110.0,Improved,2005,830000.0,2017,10,5,4,6,5,5 ROOM Improved,"45, JLN TIGA",1184.04,16,19,2003,Y,N,N,N,N,110,0,0,0,74,36,0,0,0,0,0,0,0,390045,1.308637777,103.8846448,Geylang,783.5167381,,1.0,8.0,138.9227382,2.0,3.0,11.0,168,54,327.3531934430516,Mountbatten,0,0,1.306045926,103.8832483,130.9808589880871,Blk 39,1.30751703730041,103.88500750064324,482.5462450437837,Kong Hwa School,51,0,1.311114219,103.8882094,258.4776368952613,Broadrick Secondary School,188,0,1.30750538,103.8866754
69611,96565,2018-08,QUEENSTOWN,5 ROOM,19,DOVER CRES,22 TO 24,111.0,Improved,2003,788000.0,2018,8,23,22,24,23,5 ROOM Improved,"19, DOVER CRES",1194.804,18,30,2002,Y,N,N,N,N,154,0,0,0,102,52,0,0,0,0,0,0,0,130019,1.307835871,103.7836359,Queenstown,540.9901721,,2.0,3.0,628.9617989,,1.0,7.0,72,158,715.5428457287103,Dover,0,0,1.311426541,103.7782944,66.81996165216472,Blk 19A CP,1.30781638901709,103.78423666696617,815.2042868418382,Fairfield Methodist School,32,1,1.300798691,103.7856922,662.7339831950338,Fairfield Methodist School,241,0,1.301920884,103.7843681
69652,57373,2012-04,BUKIT MERAH,5 ROOM,16,CANTONMENT CL,21 TO 25,110.0,Improved,2003,790000.0,2012,4,23,21,25,23,5 ROOM Improved,"16, CANTONMENT CL",1184.04,18,30,2000,Y,N,N,N,N,145,0,0,29,87,29,0,0,0,0,0,0,0,80016,1.273919926,103.8402609,Bukit Merah,364.7886215,1.0,2.0,9.0,449.9114018,1.0,4.0,11.0,52,108,774.6219560607755,Tanjong Pagar,0,0,1.276060998,103.8468917,51.972015730817446,Blk 16,1.27346055934188,103.84034718190608,180.26547733949977,Cantonment Primary School,58,0,1.275505441,103.8399227,1430.914802191969,Outram Secondary School,188,0,1.286387486,103.8370728
69663,161493,2017-06,KALLANG/WHAMPOA,EXECUTIVE,11,JLN BATU,01 TO 03,141.0,Apartment,1986,838000.0,2017,6,2,1,3,2,EXECUTIVE Apartment,"11, JLN BATU",1517.724,35,12,1966,Y,N,N,N,N,132,0,0,0,8,99,25,0,0,0,0,0,0,431011,1.301696391,103.8825787,Kallang,685.8309052,,1.0,5.0,175.7693511,1.0,3.0,5.0,52,53,489.34089854958125,Mountbatten,0,0,1.306045926,103.8832483,256.324443562626,Bef Kg Kayu Rd,1.30314976548218,103.8843684534534,1220.0256808190084,Kong Hwa School,51,0,1.311114219,103.8882094,287.6175829322301,Dunman High School,255,1,1.299125304,103.8828617
69671,76403,2013-02,TOA PAYOH,5 ROOM,152,LOR 2 TOA PAYOH,19 TO 21,110.0,Improved,2006,850000.0,2013,2,20,19,21,20,5 ROOM Improved,"152, LOR 2 TOA PAYOH",1184.04,15,40,2005,Y,N,N,N,N,229,0,0,0,156,73,0,0,0,0,0,0,0,310152,1.334167085,103.8458911,Toa Payoh,255.5888049,1.0,3.0,7.0,458.2817293,1.0,4.0,8.0,40,108,284.87118543803075,Toa Payoh,1,0,1.332376442,103.8477238,143.25530216987423,Opp Toa Payoh Stn,1.33306633976898,103.84656071660623,415.9964110170831,Kheng Cheng School,75,0,1.337407636,103.8477611,400.3188138163534,CHIJ Secondary,243,0,1.33246213,103.8427194
